Course Title,Course Info,Course Rating,Course Duration,Course Level,Source
Journey of the Universe: The Unfolding of Life,"Not specified
Not specified",4.7,23.0,Not applicable,Coursera
The Technology of Music Production,"Discuss the nature of sound, how it travels, and its propertiesSet up your Digital Audio Workstation, record audio, and utilize basic audio editing techniques such as trimming, fades, and mergingDefine the different categories of effects: Dynamic Effects, Delay Effects, and Filter Effects and use them effectively in a recording projectDiscuss the role filters play in music synthesis and define how they effect the input signal 
Audio Editing, Music, Sound Design, Audio Recording, Audio Production",4.8,17.0,Beginner,Coursera
Curanderismo: Traditional Healing Using Plants,"Students will be able to provide Information on the history,  traditions, rituals, herbs, and remedies of Curanderismo.Students will be able to analyze curative remedies of plants of the Southwest for medicinal purposes. Students will be able to explain how to use plants in water-based microdosis, alcohol-based tinctures, juice therapy, oils, and smoke.
Not specified",4.7,14.0,Beginner,Coursera
"The Modern World, Part Two: Global History since 1910","Not specified
Not specified",4.8,20.0,Beginner,Coursera
Love as a Force for Social Justice,"Not specified
Not specified",4.7,27.0,Beginner,Coursera
Sharpened Visions: A Poetry Workshop,"Not specified
Music, Poetry Writing, Art, Creativity",4.8,8.0,Beginner,Coursera
UX Design Fundamentals,"Not specified
Adobe Illustrator, Adobe Indesign, Adobe XD, Marvel, InVision",4.8,13.0,Beginner,Coursera
Egiptología (Egyptology),"Not specified
Not specified",4.9,36.0,Beginner,Coursera
Ideas from the History of Graphic Design,"Learn about the history of graphic designUnderstand the emergence of design as a recognized practiceLearn about graphic design radicalism in late 1950s to early 1970sMake informed design choices
Art History, History, Graphic Arts, Graphic Design",4.7,10.0,Beginner,Coursera
Introduction to Ancient Egypt and Its Civilization,"Not specified
Art History, Art, History, Mythology",4.6,8.0,Intermediate,Coursera
The Language of Design: Form and Meaning,"Recall and explain a lexicon of key terms relating to form, meaning, and audience, and apply them successfully within an appraisal of graphic designEstablish and articulate criteria for successful outcomes in a design project that are not limited by personal taste. Employ various ways of talking about visual form, meaning, and context for a given work of design in an objective way. Develop an ability to engage with a work of design in an objective way. 
Visual Communication, Graphic Design",4.6,8.0,Beginner,Coursera
Piano Techniques for Modern Music,"Develop proper technique to play the pianoMaintain healthy playing habitsApply proper piano technique while playing modern/contemporary music
Improvisation, Finger Independence, Piano Performance, Chord Progressions, Piano",0.0,11.0,Beginner,Coursera
Ecologie Politique: défi de la durabilité pour les démocraties,"Not specified
Not specified",4.8,10.0,Beginner,Coursera
Historia del Arte: Del Arte Prehistórico al Renacimiento,"Desarrollo de las artes visuales desde la prehistoria hasta las obras de los grandes maestros del Renacimiento. Relaciones entre los procesos artísticos y su contexto histórico, social y económico. Principales herramientas conceptuales para analizar la historia del arte.
Sistemas de representación, Análisis de obras de arte, Períodos históricos, Procesos artísticos, Artes visuales",4.7,16.0,Beginner,Coursera
Russian History: from Lenin to Putin,"Explain the origins and development of the Russian state and people.Apply theories of politics and society to Russian History.Evaluate the impact of a series of Soviet and Russian leaders on the word.
Not specified",4.7,11.0,Beginner,Coursera
Music Business Foundations,"Analyze recording contract provisionsAssess the various rights that make up the copyright bundle of rightsDiscuss the roles of the personal manager, business manager, road manager, agents, road crew, and attorneysExamine the importance of having written agreements that outline the duties and obligations of various parties 
Copyright, Music business, Revenue streams, Teambuilding, Contracts",4.9,11.0,Not applicable,Coursera
"El águila, el nopal y ¿la serpiente?","Not specified
Not specified",0.0,7.0,Beginner,Coursera
Roman Architecture,"Not specified
Not specified",4.9,40.0,Beginner,Coursera
"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World","Not specified
Not specified",4.8,7.0,Not applicable,Coursera
Seeing Through Photographs,"Understand artists’ processes and the choices that inform a photograph’s making, including experimentation and responses to technological innovation.Learn how context influences the production, circulation, and reception of photographic images.Understand the relationship between a photograph’s subject and meaning, and the differences between photographs as objects and photographic images.Gain confidence in looking at and talking about photography, and find inspiration from photographs all around you.
Art History, Art, History, Photography, Museums",4.8,17.0,Beginner,Coursera
Curanderismo: Traditional Healing of the Body,"Provide information on the traditions, rituals and remedies of Curanderismo, a healing tradition with emphasis on treatments of the body.                 Recognize the importance of traditional methods of healing intestinal blockage and shawl alignments.                 Explore different traditional hands on techniques and their impact on bodies ailments.    Demonstrate traditional healing methods for special populations such as infants and the aging community. 
Not specified",4.7,14.0,Beginner,Coursera
American History Through Baseball Specialization,"Gain a broad sense of historical change, politics, economy, society and culture, and persistent and recurring challenges. Discover some examples of how those changes played out in American history — the people and places involved and their impact. Develop your ability to think historically — examine the past on its own terms, consider context and change, and analyze historical arguments.Apply historical skills to the contemporary world, grapple with questions that matter to you, and learn about baseball. 
Sports, Culture, America, Baseball, US History",4.1,40.0,Beginner,Coursera
Introduction to Ableton Live,"Navigate Ableton LiveProgram MIDI drums and instrumentsRecord and edit audio, including working with preexisting audio loopsCreate a piece of music using MIDI and audio within Ableton Live
MIDI programming, File Management, Audio Recording, Ableton, Music Making",4.8,13.0,Not applicable,Coursera
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,"Not specified
Not specified",4.6,11.0,Not applicable,Coursera
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),"Not specified
Not specified",4.5,21.0,Not applicable,Coursera
Story and Narrative Development for Video Games,"Not specified
Interactive Storytelling, Video Game Development, Video Game Design, Game Design",4.7,11.0,Beginner,Coursera
Think Again I: How to Understand Arguments,"Not specified
Evaluation, Interpretation, Language, Linguistics",4.6,25.0,Beginner,Coursera
"Philosophy, Science and Religion: Philosophy and Religion","Not specified
Not specified",4.6,24.0,Beginner,Coursera
Recovering the Humankind's Past and Saving the Universal Heritage,"Not specified
Not specified",4.4,13.0,Not applicable,Coursera
Violences et religions,"Not specified
Not specified",4.7,23.0,Beginner,Coursera
Getting Started with Essay Writing,"Not specified
Not specified",4.7,19.0,Not applicable,Coursera
Discover Acting,"Not specified
Not specified",4.8,12.0,Beginner,Coursera
Chinese Culture and Contemporary China ,"Not specified
Not specified",4.6,11.0,Beginner,Coursera
Copyright for Multimedia,"Not specified
Not specified",4.6,11.0,Not applicable,Coursera
"Philosophy, Science and Religion: Science and Philosophy","Not specified
Not specified",4.5,15.0,Beginner,Coursera
Music and Social Action,"Not specified
Not specified",4.7,25.0,Not applicable,Coursera
Indigenous Religions & Ecology,"Not specified
indigenous, environment, conservation, Religion, Ecology",4.8,24.0,Beginner,Coursera
Introduction to Religions & Ecology,"Not specified
environment, conservation, Religion, Ecology",4.9,14.0,Beginner,Coursera
Old Norse Mythology in the Sources,"Identify the differences in literary representation of Old Norse myths in medieval literature and the pre-Christian religionUnderstand the processes underlying the codification of Old Norse mythology, and how the literature was interpreted in ChristianityDescribe the key elements and features of Old Norse mythology and understand how Old Norse mythology came into existence as medieval literature
Mythology, Poetry, Religion, Literature, Scandinavian History",4.6,6.0,Beginner,Coursera
Brand New Brand,"Synthesize typography, imagemaking, composition and systematic thinking skills through ideation, invention, and conceptualizationDemonstrate visual research and development skills through the creation of a Brand Development GuideExpand a brand identity's palette through the inclusion of graphic marks or icons, color, secondary typefaces, and/or images 
Adobe Photoshop, Adobe Indesign, Graphics, Color Theory",4.9,24.0,Intermediate,Coursera
Tecnología musical con software libre Specialization,"Not specified
netnography, Backcasting, Natural Language Generation, Satisficing, Additive Smoothing, Estimating Equations, trial and error, Econometric Model, Music, implementation research, medical expenditure panel survey, Architectural Compliance, Tadoma, socratic questioning, 5 whys, Formulaic Language",4.8,40.0,Intermediate,Coursera
Web Design: Wireframes to Prototypes,"Not specified
Adobe Illustrator, Adobe XD, Balsamiq, Sketch, HTML/CSS",4.8,40.0,Intermediate,Coursera
Guitar for Beginners,"Identify string names and numbers and read music notation, tablature, chord block diagrams, and fretboard mapsPractice picking, finger picking, and strumming patternsPlay various chords including major and minor triads, open, barre, and pose chordsRead and play a lead sheet
Guitar, Guitar scales, Music notation, Tablature, Guitar chords",4.8,22.0,Not applicable,Coursera
Creative Writing: The Craft of Character,"Not specified
Not specified",4.5,6.0,Not applicable,Coursera
Scandinavian Film and Television,"Not specified
Not specified",4.7,14.0,Beginner,Coursera
"The Bible's Prehistory, Purpose, and Political Future","Not specified
Not specified",4.7,19.0,Not applicable,Coursera
"Philosophy, Science and Religion: Religion and Science","Not specified
Not specified",4.7,26.0,Beginner,Coursera
Science & Religion 101,"Not specified
Not specified",4.5,18.0,Not applicable,Coursera
"Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques","Not specified
Philosophy, History, Human Resources (HR), Personality Development, Personal Development",4.8,16.0,Not applicable,Coursera
Libertarian Free Will Specialization,"How arguments from philosophers and evidence from neuroscientists contribute to the conversation about free will.To deploy these ideas to challenge assumptions of determinism in discussion and debate.How the bridge between behavior and neurobiology, and the links between attention and consciousness build our understanding of our own free will.
Philosophy, Critical Thinking, Neuroscience",0.0,40.0,Beginner,Coursera
"AI, Empathy & Ethics","Compose a personal ethical framework for AI use.Explain how various types of AI programs work.Speculate about the role of AI in the future.
Not specified",4.2,4.0,Beginner,Coursera
What Is Contemporary Art?,"Not specified
Art History, Art, History, Creativity, Museums",4.7,11.0,Beginner,Coursera
Emotions: a Philosophical Introduction,"Not specified
Not specified",4.3,15.0,Beginner,Coursera
"Applied Public History: Places, People, Stories","Not specified
Art, History, Evaluation, Methodology",4.8,26.0,Beginner,Coursera
Wonders of Ancient Egypt,"Not specified
Art History, Art, History, Mythology",4.8,9.0,Intermediate,Coursera
Music for Wellness,"The effects music has on the brainStrategies and techniques for regulating emotions and stress by integrating music with ancient practices such as mantra and pranayamaThe scientific underpinnings that support the efficacy of ancient traditional practices used to promote wellnessHow and why music can help you to live a happier, healthier life
Music Therapy, Meditation, Stress Management, breathing, Mental Health",4.6,10.0,Beginner,Coursera
Roman Art and Archaeology,"Not specified
Not specified",4.7,23.0,Not applicable,Coursera
Developing Your Musicianship,"Construct, sing and play scales such as the major scale and the minor pentatonic scale.Aurally identify major 2nd, major 3rd, perfect 4th, perfect 5th, major 6th, and major 7th intervalsConstruct and play triads and 7th chordsCompose a I-IV-V chord progression in the key of C Major and create a chord chart
Aurally identify musical intervals, Aurally identify chords, Read lead sheets, Piano, Read music notation",4.8,16.0,Not applicable,Coursera
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies","Not specified
Not specified",4.6,21.0,Beginner,Coursera
Producción musical con software libre Specialization,"Not specified
netnography, Backcasting, Natural Language Generation, Satisficing, Music, implementation research, medical expenditure panel survey, Architectural Compliance",0.0,40.0,Beginner,Coursera
Know Thyself - The Value and Limits of Self-Knowledge: The Unconscious,"Gain an appreciation of the relation of methods of learning about oneself that do not depend on introspection.Become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions and the unconscious.Understand the role of affect in decision making, and self-deception.Be able to identify and analyse unconscious mechanisms motivating own and other people's actions.
Not specified",4.7,15.0,Intermediate,Coursera
Teaching the Violin and Viola: Creating a Healthy Foundation,"Not specified
Not specified",4.7,12.0,Not applicable,Coursera
"The American South: Its Stories, Music, and Art","Not specified
Not specified",4.5,7.0,Not applicable,Coursera
The Ancient Greeks,"Not specified
Art History, Greek Mythology, History, Ancient Greece",4.7,20.0,Not applicable,Coursera
VR and 360 Video Production,"Not specified
Virtual Reality, Camera+, Video Production, 360-degree video",4.7,13.0,Beginner,Coursera
Web Design: Strategy and Information Architecture,"Not specified
Adobe Illustrator, Adobe Indesign, Treejack",4.8,11.0,Intermediate,Coursera
Historia del Arte: Del Barroco al Arte Posmoderno,"Desarrollo de las artes visuales desde el Barroco hasta el Arte Moderno. Sistemas de representación predominantes en los períodos abordados.Relaciones entre los procesos artísticos y su contexto histórico, social y económico.Principales herramientas conceptuales para analizar la historia del arte.
Sistemas de representación, Análisis de obras de arte, Períodos históricos, Procesos artísticos, Artes visuales",4.7,14.0,Beginner,Coursera
Introduction to Korean Philosophy and Culture,"Compare Korean philosophy with both Chinese philosophy as well as Western philosophyExplore the field of Korean philosophy and its development through its continued innovationDiscuss the key ideas in Korean philosophical debates, such as the concepts of moral emotions and everyday feelingsReflect the Korean philosophical traits reflected in Korean language
Philosophy, History, Culture, Language, Korean philosophy",4.8,11.0,Beginner,Coursera
Principles of Photo Composition and Digital Image Post-Production,"Not specified
Not specified",4.7,15.0,Not applicable,Coursera
Fundamentals of Rehearsing Music Ensembles,"Not specified
Not specified",4.8,21.0,Not applicable,Coursera
Character Design for Video Games,"Not specified
Not specified",4.6,9.0,Beginner,Coursera
Camera Control,"Not specified
Not specified",4.8,13.0,Not applicable,Coursera
 Storytelling in Branding and Content Marketing ,"Not specified
Not specified",4.4,13.0,Beginner,Coursera
Ancient Philosophy: Aristotle and His Successors,"Not specified
Not specified",4.8,15.0,Not applicable,Coursera
Richard Schechner's Introduction to Performance Studies ,"Not specified
Not specified",4.7,25.0,Beginner,Coursera
ART of the MOOC: Public Art and Pedagogy,"Not specified
Not specified",4.7,9.0,Not applicable,Coursera
Pensamiento científico,"Not specified
Not specified",4.8,7.0,Not applicable,Coursera
Magic in the Middle Ages,"Not specified
Middle East, Astronomy, History, Anthropology",4.6,9.0,Beginner,Coursera
Humanidades digitales,"Not specified
Not specified",4.6,3.0,Beginner,Coursera
Ancient Philosophy: Plato & His Predecessors,"Not specified
Not specified",4.8,12.0,Not applicable,Coursera
Behavior Architecture - Understanding Human Behavior ,"Not specified
Critical Thinking, Decision-Making, empathy, Human Behavioral Ecology, Heuristic Analysis",0.0,13.0,Beginner,Coursera
The Art of Vocal Production,"Discuss the various types of dynamics processing and when to use each and apply equalization to a vocal track to enhance and improve the qualityDefine, describe, and apply time based effects and use them to enhance the sound of a vocal trackCompare audio editing techniques, including time based and tempo basedDiscuss how technology has changed the music recording industry
Music, Audio Recording, Singing, Music production, Music technology",4.7,11.0,Beginner,Coursera
Understanding the Music Business: What is Music Worth?,"Not specified
Not specified",4.5,18.0,Not applicable,Coursera
Reimagining Blackness and Architecture,"Recognize how race and racism shape architecture and the built environment and the role we as individuals play in creating a just and equitable worldExplore work by Black architects and artists and discover how Black makers have shaped and reimagined the built environmentFind inspiration by learning about the ways Black makers have fashioned their own paths and advocated for better futures
anti-racism, Art, History, Humanities, Architecture",4.8,14.0,Beginner,Coursera
In Search for the Origins of Korean Philosophy,"Understand the terms ‘Name, Language, and Religion’ in the context of Korean identityHave a solid understanding of previous names of KoreaHave a basic understanding of  the early written language Koreans used (prior to Hangeul) and spoken Korean languageBe able to recognize the harmonious co-existence of Confucianism and Buddhism in Korea
Philosophy, History, Culture, Language, Korean philosophy",0.0,15.0,Intermediate,Coursera
Age of Jefferson,"Not specified
Not specified",4.7,10.0,Beginner,Coursera
